firstName,lastName,schoolName,imageUrl,playerUrl
Julius,Hiley,University of Wisconsin-Oshkosh,https://uwoshkoshtitans.com/images/2025/9/3/HileyJulius-2025.jpg?width=300,https://uwoshkoshtitans.com/sports/football/roster/julius-hiley/7447
Celia,Trotter,Towson University,https://towsontigers.com/images/2025/9/26/Celia_Trotter.jpg?width=300,https://towsontigers.com/sports/womens-gymnastics/roster/celia-trotter/24590
Tevin,Dietz,Valley City State University,https://vcsuvikings.com/images/2025/11/3/Tevin_Dietz.jpg?width=300,https://vcsuvikings.com/sports/mens-basketball/roster/tevin-dietz/5062
Julianna,Becerra,Nova Southeastern University,https://nsusharks.com/images/2025/9/17/Julianna_Becerra_MFYlr.jpg?width=300,https://nsusharks.com/sports/womens-rowing/roster/julianna-becerra/7790
Ej,Hargrave,North Park University,https://athletics.northpark.edu/images/2025/8/14/HEAD-109.jpg?width=300,https://athletics.northpark.edu/sports/football/roster/ej-hargrave/6662
Chloe,Macias,Indiana University-Purdue University Indianapolis,https://iuindyjags.com/images/2025/7/24/Macias__Chloe.jpg?width=300,https://iuindyjags.com/sports/womens-volleyball/roster/chloe-macias/8461
Jaeden,Warner,Bowie State University,https://bsubulldogs.com/images/2023/12/9/Jaeden_Warner.jpg?width=300,https://bsubulldogs.com/sports/mens-track-and-field/roster/jaeden-warner/8172
Chase,Birdsall,SUNY ESF,https://esfathletics.com/sports/msoc/2025-26/photos/0001/Chase_Birdsall.jpg?max_width=510&max_height=600,https://esfathletics.com/sports/msoc/2025-26/bios/birdsall_chase_7re4
Jordan,Smith,"California State University, Stanislaus",https://warriorathletics.com/images/2025/10/11/smith_UM8zN.png?width=300,https://warriorathletics.com/sports/mens-basketball/roster/jordan-smith/8528
Carson,Brundige,West Liberty University,https://hilltoppersports.com/images/2022/7/26/Headshot_template.png?width=300,https://hilltoppersports.com/sports/mens-track-and-field/roster/carson-brundige/8406
Camden,Hawkins,Tarleton State University,https://tarletonsports.com/images/2025/11/20/Camden_Hawkins.png?width=300,https://tarletonsports.com/sports/track-and-field/roster/camden-hawkins/12205
Bryan,Bedolla,University of Wisconsin-Oshkosh,https://uwoshkoshtitans.com/images/2025/9/3/BedollaBryan2025_gUB8u.jpg?width=300,https://uwoshkoshtitans.com/sports/football/roster/bryan-bedolla/7271
Denzel,Alexandre-louis,Shorter University,https://goshorterhawks.com/images/2025/8/11/Denzel_Alexandre.jpg?width=300,https://goshorterhawks.com/sports/football/roster/denzel-alexandre-louis/10017
Chase,Schefke,Grand Valley State University,https://gvsulakers.com/images/2025/8/4/Schefke__Chase.jpg?width=146,https://gvsulakers.com/sports/football/roster/chase-schefke/17422
Grace,Conlin,Central Connecticut State University,https://ccsubluedevils.com/sports/wlax/2024-25/photos/0001/Conlin_Grace_DS9_7852_copy.jpg?max_width=510&max_height=600,https://ccsubluedevils.com/sports/wlax/2024-25/bios/conlin_grace_q88o
